label,statement,cleaned_statement,label_encoded,binary_label
false,Says the Annies List political group supports third-trimester abortions on demand.,says the annies list political group supports thirdtrimester abortions on demand,1,0
half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration,2,1
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran,3,1
false,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation is likely to mandate free sex change surgeries,1,0
half-true,The economic turnaround started at the end of my term.,the economic turnaround started at the end of my term,2,1
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,the chicago bears have had more starting quarterbacks in the last  years than the total number of tenured uw faculty fired during the last two decades,5,1
barely-true,Jim Dunnam has not lived in the district he represents for years now.,jim dunnam has not lived in the district he represents for years now,0,0
half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate,2,1
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",however it took  million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations centerpacific,2,1
mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost  million in higher electricity costs,3,1
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",for the first time in history the share of the national popular vote margin is smaller than the latino vote margin,3,1
half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",since  nearly  million americans have slipped out of the middle class and into poverty,2,1
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,1,0
mostly-true,The economy bled $24 billion due to the government shutdown.,the economy bled  billion due to the government shutdown,3,1
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,most of the affordable care act has already in some sense been waived or otherwise suspended,0,0
half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",in this last election in november   percent of the american people chose not to vote   percent of young people and  percent of lowincome workers chose not to vote,2,1
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful,5,1
barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",us rep ron kind dwis and his fellow democrats went on a spending spree and now their credit card is maxed out,0,0
half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rates in manila philippines were raised up to  percent when a subsidiary of the world bank became a partial owner,2,1
mostly-true,"Almost 100,000 people left Puerto Rico last year.",almost  people left puerto rico last year,3,1
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,1,0
mostly-true,The United States has the highest corporate tax rate in the free world.,the united states has the highest corporate tax rate in the free world,3,1
mostly-true,We just had the best year for the auto industry in America in history.,we just had the best year for the auto industry in america in history,3,1
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",says scott walker favors cutting up to  families and children off health care,2,1
barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,says mitt romney wants to get rid of planned parenthood,0,0
false,I dont know who (Jonathan Gruber) is.,i dont know who jonathan gruber is,1,0
mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes against american muslims and mosques have tripled after paris and san bernardino,3,1
half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections,2,1
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isis supporter tweeted at  am shooting began at  am in chattanooga tenn,1,0
mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemployment in minority communities is about  to  percent,3,1
true,Says Paul Ryan is still endorsing Trump.,says paul ryan is still endorsing trump,5,1
barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,0,0
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,1,0
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,we cut business taxes so today  percent of our businesses dont pay a business tax,3,1
mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,says mark pryor votes with obama  percent of the time,3,1
true,We have a federal government that thinks they have the authority to regulate our toilet seats.,we have a federal government that thinks they have the authority to regulate our toilet seats,5,1
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin is a city that has basically doubled in size every  years or so since it was founded,5,1
true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",the nuclear test conducted in our nation this time is the earths th nuclear test the five permanent members of the un security council have conducted  percent of the total nuclear tests,5,1
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct,4,0
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",under president george w bush we added  trillion to the debt under president obama weve added  trillion to the debt,5,1
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,says a us supreme court justice suggested that some us cases will be decided based on south african law,1,0
half-true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,says marco rubio skipped  defense votes including one to arm the kurds to fight isis,2,1
pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,4,0
pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe,4,0
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster,1,0
half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,africanamerican youth unemployment is  percent hispanic youth unemployment is  percent,2,1
pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare will provide insurance to all nonus residents even if they are here illegally,4,0
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,president barack obama took exactly none of his own deficit reduction commissions ideas not one,1,0
pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life,4,0
true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton in  cosponsored legislation that would jail flag burners,5,1
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,0,0
barely-true,"Maggie Hassan raised tuition, making it the highest in America.",maggie hassan raised tuition making it the highest in america,0,0
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,1,0
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",we created  new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,5,1
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",we have towns in west texas that are out of water that are having to truck in water,0,0
half-true,"In Georgia, women earn 82 cents for every dollar earned by men.",in georgia women earn  cents for every dollar earned by men,2,1
half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,a federal system that verifies employees are authorized to work in the us is inaccurate anywhere from  percent all the way up to in excess of  percent of the time,2,1
barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",they were going to build the wall a while ago not so long ago like in  and they couldnt get environmental impact statements,0,0
false,Sen. Obama's campaign announced that he's choosing his cabinet.,sen obamas campaign announced that hes choosing his cabinet,1,0
mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",in  only  percent of latinos in texas were registered to vote and only  percent actually turned out,3,1
false,Only 2 percent of public high schools in the country offer PE classes.,only  percent of public high schools in the country offer pe classes,1,0
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",said hes the only republican candidate whos actually turned around a government economy,3,1
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,5,1
mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",there are  public school teachers in texas and there are  nonteachers in our public schools,3,1
false,"Under Mayor Cicilline, [Providence] was a sanctuary city.",under mayor cicilline providence was a sanctuary city,1,0
pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transgender individuals in the us have a in chance of being murdered,4,0
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,5,1
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,1,0
barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,us rep phil gingrey gave the government the power to electronically spy on americans without a warrant,0,0
barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funneled three quarters of a million dollars in nobid contracts to bank of america,0,0
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,5,1
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate,0,0
mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person,3,1
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,the only time in our history when the debt has been higher than this was the end of world war ii,3,1
mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,the cost of health care is now the singlebiggest factor driving down the federal budget deficit,3,1
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",during the recession the consumer in his native perversity has begun to save the savings rate is now  percent,5,1
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,on whether a us supreme court nominee should be forthcoming at confirmation hearings,1,0
barely-true,Says one out of three U.S. homeless men is a veteran.,says one out of three us homeless men is a veteran,0,0
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,says charlie crist supports cuts to the medicare advantage program,1,0
half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together  forget the united states,2,1
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,says scott brown cosponsored legislation to let employers deny women coverage for birth control,5,1
half-true,"At some point in their lives, 99% of women use birth control.",at some point in their lives  of women use birth control,2,1
false,"In the past 20 years, Egypt has made great strides in political and democratic reform.",in the past  years egypt has made great strides in political and democratic reform,1,0
false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,the amount of attention paid this week to chris christie makes the coverage of benghazi  pale in significance,1,0
true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,says us rep steve southerland voted to keep the shutdown going,5,1
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",in rick perrys texas we import nurses  from other countries,2,1
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,there is a federal criminal law that says its a crime to transport dentures across state lines,3,1
mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,we built a new prison every  days between  and  to keep up with our mass incarceration explosion of nonviolent offenders,3,1
barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen mccains tax plan provides virtually nothing to the middle class,0,0
